Codigo,Este,Norte,Bloque,Microc,Dist,Prov,Depart,Orden,Long,Alt_min,Alt_max,Alt_prom,Pend_prom,Iirreg,NDVI,Cl_Morf,Cl_NDVI
CV 11 - M6B2-1,613350.67,9412026.67,M6B2-1,C1077-Q9566,BUENOS AIRES,MORROPON,PIURA,11,78.85,258,264,261.4,6.74,4.33,0.24,Pendiente moderada,Vegetación ligera
CV 12 - M28B4,625464.19,9427053.97,M28B4,C1086-Q9575,YAMANGO,MORROPON,PIURA,12,82.13,326,334,330,7.41,4.19,0.21,Pendiente moderada,Vegetación ligera
CV 13 - M9B1,595413.61,9450553.27,M9B1,C1096-Q9545,CHULUCANAS,MORROPON,PIURA,13,101.04,148,150,148.63,2.04,1.71,0.24,Pendiente suave,Vegetación ligera
CV 14 - M3B8,633430.99,9416475.89,M3B8,C1081-Q9582,SAN JUAN DE BIGOTE,MORROPON,PIURA,14,116.8,224,227,225.11,2.3,1.96,0.27,Pendiente suave,Vegetación mediana
CV 15 - M28B2,636432.27,9424791.19,M28B2,C1086-Q9575,YAMANGO,MORROPON,PIURA,15,117.77,754,764,760,5.83,4.43,0.48,Pendiente suave,Vegetación alta
CV 16 - M6B2-1,613980.08,9413656.34,M6B2-1,C1077-Q9566,BUENOS AIRES,MORROPON,PIURA,16,128.44,185,193,189,3.88,2.5,0.2,Pendiente suave,Vegetación ligera
CV 17 - M28B4,626015.46,9426532.1,M28B4,C1086-Q9575,YAMANGO,MORROPON,PIURA,17,139.45,303,314,309.9,6.3,3.87,0.28,Pendiente moderada,Vegetación mediana
CV 18 - 11,621009.19,9439825.24,11,C1086-Q9570,SANTO DOMINGO,MORROPON,PIURA,18,148.73,1378,1422,1398.45,20.01,11.55,0.67,Pendiente moderada,Vegetación alta
CV 19 - M3B8,633223.12,9415397.73,M3B8,C1081-Q9582,SAN JUAN DE BIGOTE,MORROPON,PIURA,19,185.51,211,216,214.62,2.9,1.97,0.22,Pendiente suave,Vegetación ligera
CV 20 - M6B2-2,611438.17,9417105.06,M6B2-2,C1077-Q9566,BUENOS AIRES,MORROPON,PIURA,20,208.26,217,231,222.69,5.18,3.8,0.15,Pendiente suave,Vegetación ligera
CV 21 - 3,607641.39,9458937.31,3,C1096-Q9545,FRIAS,AYABACA,PIURA,21,217.71,1382,1450,1415.88,19.27,13.02,0.63,Pendiente moderada,Vegetación alta
CV 22 - M6B2-2,611618.46,9417193.91,M6B2-2,C1077-Q9566,BUENOS AIRES,MORROPON,PIURA,22,226.02,211,218,213.67,3.29,3,0.12,Pendiente suave,Tierra desnuda
CV 23 - 36,606177.43,9454795.97,36,C1096-Q9547,FRIAS,AYABACA,PIURA,23,258.35,1253,1389,1300.53,19.26,11.41,0.62,Pendiente moderada,Vegetación alta
CV 24 - 5,617630.67,9413510.57,5,C1077-Q9566,BUENOS AIRES,MORROPON,PIURA,24,261.68,165,178,170.44,4.31,2.92,0.24,Pendiente suave,Vegetación ligera
CV 25 - M4B3,643095.81,9385197.67,M4B3,C1076-Q9589,HUARMACA,HUANCABAMBA,PIURA,25,270.27,380,408,392.83,6.49,3.92,0.15,Pendiente moderada,Vegetación ligera
CV 26 - M18B3,625440.94,9411611,M18B3,C1077-Q9579,SALITRAL,MORROPON,PIURA,26,273.22,188,223,205.2,7.82,4.57,0.29,Pendiente moderada,Vegetación mediana
CV 27 - M6B2-1,612439,9414620.04,M6B2-1,C1077-Q9566,BUENOS AIRES,MORROPON,PIURA,27,276.67,262,306,283.86,9.59,5.58,0.2,Pendiente moderada,Vegetación ligera
CV 28 - 18,656667.83,9393365.44,18,C1076-Q9592,HUARMACA,HUANCABAMBA,PIURA,28,283.99,1322,1388,1353.89,14.59,8.69,0.71,Pendiente moderada,Vegetación alta
CV 29 - M2B1,635914.2,9397818.73,M2B1,C1076-Q9584,SALITRAL,MORROPON,PIURA,29,301.59,243,264,254.04,4.61,3.64,0.26,Pendiente suave,Vegetación mediana
CV 30 - M6B2-2,611455.67,9415925.19,M6B2-2,C1077-Q9566,BUENOS AIRES,MORROPON,PIURA,30,316.82,250,294,270.58,8.85,5.18,0.23,Pendiente moderada,Vegetación ligera
CV 31 - 10,650960.46,9381923.45,10,C1076-Q9593,HUARMACA,HUANCABAMBA,PIURA,31,343.97,915,1133,1072.46,11.68,7.52,0.48,Pendiente moderada,Vegetación alta
CV 32 - M1B1,617588.51,9408453.09,M1B1,C1077-Q9580,BUENOS AIRES,MORROPON,PIURA,32,407.23,220,264,240.04,6.94,4.25,0.18,Pendiente moderada,Vegetación ligera
CV 33 - M7B2,631995.29,9402768.67,M7B2,C1076-Q9581,SALITRAL,MORROPON,PIURA,33,448.62,204,217,211.06,2.77,2.12,0.24,Pendiente suave,Vegetación ligera
CV 34 - M18B1,621552.06,9410446.87,M18B1,C1077-Q9579,BUENOS AIRES,MORROPON,PIURA,34,471.7,156,185,168.25,4.55,3.39,0.2,Pendiente suave,Vegetación ligera
CV 35 - M30B5,654844.35,9427696.63,M30B5,C1081-Q9591,HUANCABAMBA,HUANCABAMBA,PIURA,35,478.48,1782,1933,1860.37,15.92,10.2,0.59,Pendiente moderada,Vegetación alta
CV 36 - M17B7,609107.09,9448951.75,M17B7,C1096-Q9556,FRIAS,AYABACA,PIURA,36,506.11,771,938,844.21,18.38,11.09,0.42,Pendiente moderada,Vegetación alta
CV 37 - M9B1,596109.6,9451315.21,M9B1,C1096-Q9545,CHULUCANAS,MORROPON,PIURA,37,525.67,161,179,170.81,3.08,2.33,0.21,Pendiente suave,Vegetación ligera
CV 38 - M6B2-1,613489.86,9414234.01,M6B2-1,C1077-Q9566,BUENOS AIRES,MORROPON,PIURA,38,537.72,183,216,200.05,4.4,3.13,0.24,Pendiente suave,Vegetación ligera
CV 39 - M9B1,596253.42,9451100.9,M9B1,C1096-Q9545,CHULUCANAS,MORROPON,PIURA,39,551.93,161,195,176.88,4.1,3,0.21,Pendiente suave,Vegetación ligera
CV 40 - M6B2-3,611857.48,9419284.19,M6B2-3,C1077-Q9566,BUENOS AIRES,MORROPON,PIURA,40,567.05,166,306,226.18,14.05,8.16,0.37,Pendiente moderada,Vegetación mediana
CV 41 - M6B2-2,611755.24,9416385.5,M6B2-2,C1077-Q9566,BUENOS AIRES,MORROPON,PIURA,41,700,200,251,220.67,5.17,3.59,0.17,Pendiente suave,Vegetación ligera
CV 42 - 15,620066.34,9438071.05,15,C1086-Q9570,SANTO DOMINGO,MORROPON,PIURA,42,705.91,1199,1379,1277.13,15.18,8.77,0.57,Pendiente moderada,Vegetación alta
CV 43 - M3B8,631949.93,9415280.85,M3B8,C1081-Q9582,SAN JUAN DE BIGOTE,MORROPON,PIURA,43,719.22,221,250,235,2.89,2.02,0.24,Pendiente suave,Vegetación ligera
CV 44 - M6B2-1,612127.53,9415170.61,M6B2-1,C1077-Q9566,BUENOS AIRES,MORROPON,PIURA,44,742.87,200,283,233.18,6.86,4.38,0.24,Pendiente moderada,Vegetación ligera
CV 45 - M3B8,631796.03,9415080.43,M3B8,C1081-Q9582,SAN JUAN DE BIGOTE,MORROPON,PIURA,45,747.63,221,258,235.82,3.47,2.37,0.24,Pendiente suave,Vegetación ligera
CV 46 - M4B4,643540.15,9389760.56,M4B4,C1076-Q9589,HUARMACA,HUANCABAMBA,PIURA,46,748.96,320,358,338.98,5.03,3.62,0.26,Pendiente suave,Vegetación mediana
CV 47 - M20B1,641425.47,9399084.95,M20B1,C1076-Q9585,SAN MIGUEL DE EL FAIQUE,HUANCABAMBA,PIURA,47,758.1,268,305,285.53,3.54,2.36,0.33,Pendiente suave,Vegetación mediana
CV 48 - M6B2-2,611151.73,9417270.67,M6B2-2,C1077-Q9566,BUENOS AIRES,MORROPON,PIURA,48,901.63,217,280,247.06,5.24,3.62,0.28,Pendiente suave,Vegetación mediana
CV 49 - M6B2-3,611486.69,9419604.03,M6B2-3,C1077-Q9566,BUENOS AIRES,MORROPON,PIURA,49,919.21,197,323,249.25,8.58,5.28,0.2,Pendiente moderada,Vegetación ligera
CV 50 - M9B1,595662.64,9450851.94,M9B1,C1096-Q9545,CHULUCANAS,MORROPON,PIURA,50,922.04,147,162,155.92,2.03,1.64,0.14,Pendiente suave,Tierra desnuda
CV 51 - 2,602990.83,9438959.92,2,C1096-Q9558,CHULUCANAS,MORROPON,PIURA,51,933.78,154,208,176.97,3.94,2.72,0.21,Pendiente suave,Vegetación ligera
CV 52 - 4,656408.19,9382262.38,4,C1076-Q9588,HUARMACA,HUANCABAMBA,PIURA,52,948.64,1381,1688,1519.54,18.94,11.2,0.59,Pendiente moderada,Vegetación alta
CV 53 - M3B9,630092.61,9413940.16,M3B9,C1081-Q9582,SALITRAL,MORROPON,PIURA,53,1143.05,223,312,259.24,5.44,3.56,0.28,Pendiente suave,Vegetación mediana
CV 54 - M9B1,595284.49,9451528.14,M9B1,C1096-Q9545,CHULUCANAS,MORROPON,PIURA,54,1386.44,148,191,165.99,4.08,2.99,0.19,Pendiente suave,Vegetación ligera
CV 55 - M3B8,632440.72,9415295.57,M3B8,C1081-Q9582,SAN JUAN DE BIGOTE,MORROPON,PIURA,55,1505.43,209,244,224.76,2.6,1.91,0.25,Pendiente suave,Vegetación mediana
