BLOQUE;MICROCUENCA;PROVINCIA;DISTRITO;AREA_HA;ARCHIVO_EXCEL;ID_CARPETA_DRIVE;NOMBRE_CARPETA_DRIVE;ENLACE_CARPETA
12;C1086-Q9570;Morropon;Santo Domingo;119.54;Plantilla_Excel_Bloque_12_IN_Piura.xlsx;1YTCCpMF9Rlrqc_nte61EoJXY7Rm8HYtS;DIAGNOSTICO BLOQUE 12;https://drive.google.com/drive/folders/1YTCCpMF9Rlrqc_nte61EoJXY7Rm8HYtS
14;C1086-Q9570;Morropon;Santa Catalina de Mossa;92.9;Plantilla_Excel_Bloque_14_IN_Piura.xlsx;1BsoqP1MohsgjIHFoSAi8Z4kVaVzsNfHZ;DIAGNOSTICO BLOQUE 14;https://drive.google.com/drive/folders/1BsoqP1MohsgjIHFoSAi8Z4kVaVzsNfHZ
13;C1096-Q9564;Morropon;Santo Domingo;100.51;Plantilla_Excel_Bloque_13_IN_Piura.xlsx;11gnKd0xAv9G9r6XZi5SL6DMy6mOO9b6k;DIAGNOSTICO BLOQUE 13;https://drive.google.com/drive/folders/11gnKd0xAv9G9r6XZi5SL6DMy6mOO9b6k
15;C1086-Q9570;Morropon;Santo Domingo;86.15;Plantilla_Excel_Bloque_15_IN_Piura.xlsx;1AJjfmayZp0TO4qaMTNSPEpPvvTOc5qim;DIAGNOSTICO BLOQUE 15;https://drive.google.com/drive/folders/1AJjfmayZp0TO4qaMTNSPEpPvvTOc5qim
17;C1086-Q9570;Morropon;Santo Domingo;96.08;Plantilla_Excel_Bloque_17_IN_Piura.xlsx;1PxXW1bkiUs9Ne5uUe6aBEDwkzs-ZOV-y;DIAGNOSTICO BLOQUE 17;https://drive.google.com/drive/folders/1PxXW1bkiUs9Ne5uUe6aBEDwkzs-ZOV-y
18;C1076-Q9592;Huancabamba;Huarmaca;103.62;Plantilla_Excel_Bloque_18_IN_Piura.xlsx;17wFTEpS-GKF8lMbIO457i7HDxy81ugo3;DIAGNOSTICO BLOQUE 18;https://drive.google.com/drive/folders/17wFTEpS-GKF8lMbIO457i7HDxy81ugo3
19;C1076-Q9592;Huancabamba;Huarmaca;82.09;Plantilla_Excel_Bloque_19_IN_Piura.xlsx;1QJ0i7KnPU_ZVOd56XdkTbKQRrepTniQi;DIAGNOSTICO BLOQUE 19;https://drive.google.com/drive/folders/1QJ0i7KnPU_ZVOd56XdkTbKQRrepTniQi
22;C1096-Q9556;Morropon;Chulucanas;79.33;Plantilla_Excel_Bloque_22_IN_Piura.xlsx;1sXRnr2rvHAi3Q2mdJ84KBN24-2dBbjVP;DIAGNOSTICO BLOQUE 22;https://drive.google.com/drive/folders/1sXRnr2rvHAi3Q2mdJ84KBN24-2dBbjVP
26;C1081-Q9591;Huancabamba;Lalaquiz;46.96;Plantilla_Excel_Bloque_26_IN_Piura.xlsx;1Q6YkpZFx0uU7xhjn08X5oClcMDu7JBRM;DIAGNOSTICO BLOQUE 26;https://drive.google.com/drive/folders/1Q6YkpZFx0uU7xhjn08X5oClcMDu7JBRM
24;C1081-Q9583;Huancabamba;Canchaque;90.16;Plantilla_Excel_Bloque_24_IN_Piura.xlsx;1mGTQalZNx4HERgDeT7a27JfTW_2-g2OQ;DIAGNOSTICO BLOQUE 24;https://drive.google.com/drive/folders/1mGTQalZNx4HERgDeT7a27JfTW_2-g2OQ
27;C1096-Q9556;Ayabaca;Frias;78.15;Plantilla_Excel_Bloque_27_IN_Piura.xlsx;12AQCKQ0zt5kzhDChJsGBXfva-rjdRMZD;DIAGNOSTICO BLOQUE 27;https://drive.google.com/drive/folders/12AQCKQ0zt5kzhDChJsGBXfva-rjdRMZD
35;C1076-Q9586;Huancabamba;San Miguel de El Faique;30.8;Plantilla_Excel_Bloque_35_IN_Piura.xlsx;16BYYPC6Qw5_F-U4gGR1_9kLNW2SIB78S;DIAGNOSTICO BLOQUE 35;https://drive.google.com/drive/folders/16BYYPC6Qw5_F-U4gGR1_9kLNW2SIB78S
50;C1081-Q9590;Huancabamba;Lalaquiz;19.27;Plantilla_Excel_Bloque_50_IN_Piura.xlsx;1dWbye9e1FGSdrSiHUgmq_71aL0dGUzH-;DIAGNOSTICO BLOQUE 50;https://drive.google.com/drive/folders/1dWbye9e1FGSdrSiHUgmq_71aL0dGUzH-
52;C1086-Q9575;Morropon;Yamango;11.06;Plantilla_Excel_Bloque_52_IN_Piura.xlsx;1XmSSRYr-KFqYzCWcjmWu47adlGOqR07O;DIAGNOSTICO BLOQUE 52;https://drive.google.com/drive/folders/1XmSSRYr-KFqYzCWcjmWu47adlGOqR07O
42;C1086-Q9570;Morropon;Santa Catalina de Mossa;80.62;Plantilla_Excel_Bloque_42_IN_Piura.xlsx;1_MQPStO9fdmA3rASuXGXS-03NZF3gY3k;DIAGNOSTICO BLOQUE 42;https://drive.google.com/drive/folders/1_MQPStO9fdmA3rASuXGXS-03NZF3gY3k
41;C1076-Q9592;Huancabamba;Huarmaca;64.92;Plantilla_Excel_Bloque_41_IN_Piura.xlsx;1VedKExXj6KIiTkPaRm7NsyRlsBr-LoHJ;DIAGNOSTICO BLOQUE 41;https://drive.google.com/drive/folders/1VedKExXj6KIiTkPaRm7NsyRlsBr-LoHJ
44;C1076-Q9586;Huancabamba;San Miguel de El Faique;28.23;Plantilla_Excel_Bloque_44_IN_Piura.xlsx;1prhzOHXfoG_mKjX_Of03z0gWXa3P3wDB;DIAGNOSTICO BLOQUE 44;https://drive.google.com/drive/folders/1prhzOHXfoG_mKjX_Of03z0gWXa3P3wDB
43;C1076-Q9586;Huancabamba;San Miguel de El Faique;23.17;Plantilla_Excel_Bloque_43_IN_Piura.xlsx;1Ujr8vbykT2wbxWJ8zZzCb_uJMQzE1Kz5;DIAGNOSTICO BLOQUE 43;https://drive.google.com/drive/folders/1Ujr8vbykT2wbxWJ8zZzCb_uJMQzE1Kz5
49;C1086-Q9575;Morropon;Yamango;15.84;Plantilla_Excel_Bloque_49_IN_Piura.xlsx;1FB0wNh4FypNH0PSDnB0sN5d1QA9GbuMy;DIAGNOSTICO BLOQUE 49;https://drive.google.com/drive/folders/1FB0wNh4FypNH0PSDnB0sN5d1QA9GbuMy
47;C1076-Q9586;Huancabamba;San Miguel de El Faique;13.55;Plantilla_Excel_Bloque_47_IN_Piura.xlsx;1tNjlqrGDoGc-7aMWBH1CCiSAi6GmNqc4;DIAGNOSTICO BLOQUE 47;https://drive.google.com/drive/folders/1tNjlqrGDoGc-7aMWBH1CCiSAi6GmNqc4
6;C1096-Q9547;Ayabaca;Frias;168.41;Plantilla_Excel_Bloque_6_IN_Piura.xlsx;1Fe6OFhre3nbFtB6TDgvqvEUxS5FC5bVa;DIAGNOSTICO BLOQUE 6;https://drive.google.com/drive/folders/1Fe6OFhre3nbFtB6TDgvqvEUxS5FC5bVa
57;C1086-Q9576;Morropon;Chalaco;25.67;Plantilla_Excel_Bloque_57_IN_Piura.xlsx;1LZKcUBm66AcMRAUqJP5gppSoqODuQ1mm;DIAGNOSTICO BLOQUE 57;https://drive.google.com/drive/folders/1LZKcUBm66AcMRAUqJP5gppSoqODuQ1mm
56;C1096-Q9564;Ayabaca;Frias;77.67;Plantilla_Excel_Bloque_56_IN_Piura.xlsx;12N1KOF829JLUhtEVu4HA0HoYCLXdR8Z6;DIAGNOSTICO BLOQUE 56;https://drive.google.com/drive/folders/12N1KOF829JLUhtEVu4HA0HoYCLXdR8Z6
59;C1086-Q9570;Morropon;Chalaco;13.55;Plantilla_Excel_Bloque_59_IN_Piura.xlsx;1O5aSb6e2ASmRN7kWBkoCV6ZRoMj_dAun;DIAGNOSTICO BLOQUE 59;https://drive.google.com/drive/folders/1O5aSb6e2ASmRN7kWBkoCV6ZRoMj_dAun
61;C1081-Q9590;Huancabamba;Lalaquiz;26.83;Plantilla_Excel_Bloque_61_IN_Piura.xlsx;1WlwG9rkht5et8W5DSFhsWwnTa09vIKjv;DIAGNOSTICO BLOQUE 61;https://drive.google.com/drive/folders/1WlwG9rkht5et8W5DSFhsWwnTa09vIKjv
73;C1076-Q9592;Huancabamba;Huarmaca;54.29;Plantilla_Excel_Bloque_73_IN_Piura.xlsx;10IeruvHF5rougg1FTWs3jqsfG5b9Ss5r;DIAGNOSTICO BLOQUE 73;https://drive.google.com/drive/folders/10IeruvHF5rougg1FTWs3jqsfG5b9Ss5r
71;C1076-Q9593;Huancabamba;Huarmaca;10.67;Plantilla_Excel_Bloque_71_IN_Piura.xlsx;1T4t71z-bmg1EgIcMGEAo9NgNH3A6npui;DIAGNOSTICO BLOQUE 71;https://drive.google.com/drive/folders/1T4t71z-bmg1EgIcMGEAo9NgNH3A6npui
76;C1076-Q9593;Huancabamba;Huarmaca;19.62;Plantilla_Excel_Bloque_76_IN_Piura.xlsx;1fEX3bKhYoguCxrRlhe04qfQ_bLLsUb5v;DIAGNOSTICO BLOQUE 76;https://drive.google.com/drive/folders/1fEX3bKhYoguCxrRlhe04qfQ_bLLsUb5v
66;C1081-Q9591;Huancabamba;Canchaque;102.34;Plantilla_Excel_Bloque_66_IN_Piura.xlsx;1-v7L3Q7vnWixtGeBZPRmcTwL83So5Mef;DIAGNOSTICO BLOQUE 66;https://drive.google.com/drive/folders/1-v7L3Q7vnWixtGeBZPRmcTwL83So5Mef
67;C1076-Q9586;Huancabamba;San Miguel de El Faique;13.18;Plantilla_Excel_Bloque_67_IN_Piura.xlsx;1__brv6-Sg3AHtFXkeU2x0ZrM5sYFXMhD;DIAGNOSTICO BLOQUE 67;https://drive.google.com/drive/folders/1__brv6-Sg3AHtFXkeU2x0ZrM5sYFXMhD
72;C1076-Q9592;Huancabamba;Huarmaca;12.4;Plantilla_Excel_Bloque_72_IN_Piura.xlsx;1JPB_uWobqchiSsANgipL6yCx520inYtc;DIAGNOSTICO BLOQUE 72;https://drive.google.com/drive/folders/1JPB_uWobqchiSsANgipL6yCx520inYtc
80;C1076-Q9593;Huancabamba;Huarmaca;28.83;Plantilla_Excel_Bloque_80_IN_Piura.xlsx;1bc1EY20QN6Noo6XbH4jkDeVs3IENX6i-;DIAGNOSTICO BLOQUE 80;https://drive.google.com/drive/folders/1bc1EY20QN6Noo6XbH4jkDeVs3IENX6i-
78;C1086-Q9570;Morropon;Santo Domingo;35.1;Plantilla_Excel_Bloque_78_IN_Piura.xlsx;1l1qxfEqgvmUiXSb8QnQ1qhB82_fmZzFY;DIAGNOSTICO BLOQUE 78;https://drive.google.com/drive/folders/1l1qxfEqgvmUiXSb8QnQ1qhB82_fmZzFY
87;C1081-Q9583;Morropon;San Juan de Bigote;62.219;Plantilla_Excel_Bloque_87_IN_Piura.xlsx;1mTy0OKargQgXCvgRpX-MN1X0pZ2qZchR;DIAGNOSTICO BLOQUE 87;https://drive.google.com/drive/folders/1mTy0OKargQgXCvgRpX-MN1X0pZ2qZchR
82;C1086-Q9570;Morropon;Santo Domingo;35.66;Plantilla_Excel_Bloque_82_IN_Piura.xlsx;1HEZrVvGgOCil3A5IYJrwd4HEdGg7iikw;DIAGNOSTICO BLOQUE 82;https://drive.google.com/drive/folders/1HEZrVvGgOCil3A5IYJrwd4HEdGg7iikw
M11B3;C1081-Q9583;Morropon;San Juan de Bigote;106.03;Plantilla_Excel_Bloque_M11B3_IN_Piura.xlsx;1U6m74LyawGHP0e_TihiSmvLKhc1I2Q5j;DIAGNOSTICO BLOQUE M11B3;https://drive.google.com/drive/folders/1U6m74LyawGHP0e_TihiSmvLKhc1I2Q5j
M10B4;C1096-Q9547;Morropon;Chulucanas;68.89;Plantilla_Excel_Bloque_M10B4_IN_Piura.xlsx;1XiNpugRFhfSV_uCECQ_IbdBnzGFQ2F4P;DIAGNOSTICO BLOQUE M10B4;https://drive.google.com/drive/folders/1XiNpugRFhfSV_uCECQ_IbdBnzGFQ2F4P
M17B4;C1096-Q9556;Morropon;Chulucanas;124.71;Plantilla_Excel_Bloque_M17B4_IN_Piura.xlsx;1qBhB5MGOM1cscwjVeoWjyhHis7WjKFUI;DIAGNOSTICO BLOQUE M17B4;https://drive.google.com/drive/folders/1qBhB5MGOM1cscwjVeoWjyhHis7WjKFUI
M12B1;C1076-Q9588;Huancabamba;Huarmaca;268.39;Plantilla_Excel_Bloque_M12B1_IN_Piura.xlsx;10zcDqF2VBcJEcs51RW61sBe2X9pu-GcP;DIAGNOSTICO BLOQUE M12B1;https://drive.google.com/drive/folders/10zcDqF2VBcJEcs51RW61sBe2X9pu-GcP
M19B2;C1086-Q9570;Morropon;Morropon;74.37;Plantilla_Excel_Bloque_M19B2_IN_Piura.xlsx;1axU2afXYW4ZGlKoeKc3zjTCFNQ5lxQIm;DIAGNOSTICO BLOQUE M19B2;https://drive.google.com/drive/folders/1axU2afXYW4ZGlKoeKc3zjTCFNQ5lxQIm
M18B1;C1077-Q9579;Morropon;Buenos Aires;160.36;Plantilla_Excel_Bloque_M18B1_IN_Piura.xlsx;1xPJ8XBzb5Uh4gF4Kq_BTIZUHnztLZzyY;DIAGNOSTICO BLOQUE M18B1;https://drive.google.com/drive/folders/1xPJ8XBzb5Uh4gF4Kq_BTIZUHnztLZzyY
M17B6;C1096-Q9556;Ayabaca;Frias;106.54;Plantilla_Excel_Bloque_M17B6_IN_Piura.xlsx;1cyl7CR172fOAG0z02P89Z25DBgjiEpJE;DIAGNOSTICO BLOQUE M17B6;https://drive.google.com/drive/folders/1cyl7CR172fOAG0z02P89Z25DBgjiEpJE
M18B3;C1077-Q9579;Morropon;Salitral;373.81;Plantilla_Excel_Bloque_M18B3_IN_Piura.xlsx;1SMzfiQWA7IhW2XH4DtmeArj7gshuS54T;DIAGNOSTICO BLOQUE M18B3;https://drive.google.com/drive/folders/1SMzfiQWA7IhW2XH4DtmeArj7gshuS54T
M17B7;C1096-Q9556;Ayabaca;Frias;258.84;Plantilla_Excel_Bloque_M17B7_IN_Piura.xlsx;1kBKhaXbww-u5qotUX_U9GANVwlMhiUzQ;DIAGNOSTICO BLOQUE M17B7;https://drive.google.com/drive/folders/1kBKhaXbww-u5qotUX_U9GANVwlMhiUzQ
M2B1;C1076-Q9584;Morropon;Salitral;81.79;Plantilla_Excel_Bloque_M2B1_IN_Piura.xlsx;1FzmtPS3fS9hFSL6Hm1g48iW3HjHLvfrw;DIAGNOSTICO BLOQUE M2B1;https://drive.google.com/drive/folders/1FzmtPS3fS9hFSL6Hm1g48iW3HjHLvfrw
M1B1;C1077-Q9580;Morropon;Buenos Aires;188.8;Plantilla_Excel_Bloque_M1B1_IN_Piura.xlsx;1IQhCiNRcCPIY83rxzfQiljhmrqWBlSRt;DIAGNOSTICO BLOQUE M1B1;https://drive.google.com/drive/folders/1IQhCiNRcCPIY83rxzfQiljhmrqWBlSRt
M28B2;C1086-Q9575;Morropon;Yamango;90.2;Plantilla_Excel_Bloque_M28B2_IN_Piura.xlsx;10pKTiOQxqOTwgyUNxsFtaeqQbKjbV5ku;DIAGNOSTICO BLOQUE M28B2;https://drive.google.com/drive/folders/10pKTiOQxqOTwgyUNxsFtaeqQbKjbV5ku
M20B1;C1076-Q9585;Huancabamba;San Miguel de El Faique;279.68;Plantilla_Excel_Bloque_M20B1_IN_Piura.xlsx;1bjvzaMmxS2AgNEHX3gfFSiiE104rJ0RD;DIAGNOSTICO BLOQUE M20B1;https://drive.google.com/drive/folders/1bjvzaMmxS2AgNEHX3gfFSiiE104rJ0RD
M2B5;C1076-Q9584;Morropon;Salitral;30.91;Plantilla_Excel_Bloque_M2B5_IN_Piura.xlsx;1MI5shbLxOr7JLfog1wTprM-v3A9KbGjp;DIAGNOSTICO BLOQUE M2B5;https://drive.google.com/drive/folders/1MI5shbLxOr7JLfog1wTprM-v3A9KbGjp
M28B3;C1086-Q9575;Morropon;Yamango;58.29;Plantilla_Excel_Bloque_M28B3_IN_Piura.xlsx;1-trwJeabIEwc58jhoUYkRtmeQoym8cxl;DIAGNOSTICO BLOQUE M28B3;https://drive.google.com/drive/folders/1-trwJeabIEwc58jhoUYkRtmeQoym8cxl
